,,,content,NA,P,F,M,A
9.26E+17,LShrug,35:19.0,@manofmanychins @Loricatus_Lupus Not even in the tin kind of can thingy either. Old but not even nostalgia vintage cool. :(,x,,,,
9.26E+17,manofmanychins,35:17.0,@Loricatus_Lupus @LShrug I don't even want to think about some people's sourdough starters.,x,,,,
9.26E+17,nofigdeal,34:37.0,"@tellmecarey @blurrymathers @OOkennedy no seriously, lupus and fibro arent the same thing and theyre two seriously different chronic illnesses",,,,x,
9.26E+17,manofmanychins,33:05.0,"@LShrug @Loricatus_Lupus It is now vintage, coast-to-coast paprika. Worth more.",x,,,,
9.26E+17,LShrug,31:38.0,@manofmanychins @Loricatus_Lupus Come to think of it...my paprika predates our cross country move...in 1993.,x,,,,
9.26E+17,dreamingnice,31:06.0,"I know the feeling, four years ago the doctors run so many tests on me because I could suffered lupus.. hard times, thanks god it was +",,x,,,
9.26E+17,manofmanychins,30:54.0,@LShrug @Loricatus_Lupus I mean how much nutmeg do we really use?,x,,,,
9.26E+17,RichOnOWN,30:14.0,"""I was just..."" @OmarJDorsey ""Minding somebody else's business?!"" @tinalifford  #QueenSugar ""Doctor says I have Lupus.""",,x,,,
9.26E+17,LShrug,29:46.0,"@manofmanychins @Loricatus_Lupus I was recently at my parent's on vacation.Opened a cupboard&amp;saw a tin of farmer jack nutmeg.""Jesus Christ, mom this shit is older than me!""",x,,,,
9.26E+17,dogternomad,27:59.0,If it's not cancer it's lupus. XD,,x,,,
9.26E+17,manofmanychins,23:08.0,@SpeechTeach72 @Loricatus_Lupus Pretty close.,x,,,,
9.26E+17,SpeechTeach72,22:22.0,@manofmanychins @Loricatus_Lupus Wow! Fossilized?,x,,,,
9.26E+17,wokeequalist1,22:18.0,Taylor Swift already won that woman of the year shit and Selena dying from lupus anyways who cares,,x,,,
9.26E+17,manofmanychins,20:40.0,@Loricatus_Lupus They'd shit if the saw my spice drawer.  Some stuff in there as old as I am.,x,,,,
9.26E+17,SpeechTeach72,18:45.0,"@Loricatus_Lupus It doesn't necessarily mean it's bad, maybe just less effective.",x,,,,
9.26E+17,Yung_J_A_G,18:29.0,"Some of you don't care, but my family and my real friends will. In Honor of someone who fights lupus .... ⭐️💫⭐️💜
Copy and post",,x,,,
9.26E+17,edgarvlermamd,17:38.0,"LIGHTSTONE: Preconception advice in patient with prior #Lupus Nephritis
#Nephpearls #KidneyWk https://t.co/L0wwTMBlMy",,x,,,
9.26E+17,Alexlittttt,17:28.0,"@tellmecarey By a female this year 
Most number #1s on ITunes this year 
Raised over 500k for lupus awareness 
Helped out in the HAH movement- https://t.co/AodW6hyuG4",x,,,,
9.26E+17,ngaufrancis,16:14.0,HEALTH TIPS AND REMEDIES: Systemic Lupus erythematosis·         Tx: Focused ... https://t.co/jDcY69tmNU,,,,x,
9.26E+17,myallday3,15:03.0,"In my best Timmy Lupus ... “And another thing, just wait til next year!” (2)",x,,,,
9.26E+17,EHadjigeorgiou,14:03.0,"A wonderful evening with A wonderful audience at Cyprus League Against Rheumatism, LUPUS  group. https://t.co/K7UVyHfoiw",,,,,x
9.26E+17,heckindweeb,13:54.0,"She isn’t the #1 selling artist, but she did a lot w/philanthropy and fashion while opening up about living with lupus. Congrats! https://t.co/RnbCokqkVn",,x,,,
9.26E+17,EHadjigeorgiou,13:03.0,"A wonderful evening with A wonderful audience at Cyprus League Against Rheumatism, LUPUS  group. https://t.co/Z0DAz2DWWQ",,,,,x
9.26E+17,skyetheowl,11:46.0,@laurextralarge @arantxagomez14 @booblenalikesxo @moonlightgae NOT if you ACTUALLY read Billboard's article of WHY they gave her this award- it's based on having #1 albums &amp; Top 10s. Lupus awareness too.,,x,,,
9.26E+17,davejac,10:10.0,@its_not_lupus @mfyfyr @simonpnz I'm stuck in Ruakaka and there is very little else to do.,x,,,,
9.26E+17,tonyallen_1,06:07.0,"Some of you don't care, but my family and my real friends will. In Honor of someone who Fights LUPUS .... ⭐️💫⭐️💜
Copy and paste",,x,,,
9.26E+17,leynababyyy,02:35.0,I played my first game of softball tonight since I was diagnosed with lupus... came back playing like I’ve never played a day in my life 😂😂,,x,,,
9.26E+17,2minmed,02:05.0,"Despite improving trends in #lupus-related mortality, rates appear to remain high relative to non-lupus causes https://t.co/wh65MZgneL",,,,x,
9.26E+17,LolasSpace,58:40.0,"@nmontegrico @BlancaRozayy First of all, she talks ab lupus all the time. And doesn’t brag ab what she does👏🏽",x,,,,
9.26E+17,solids_mico,58:34.0,"@solids_lupus @SolidSxWings My, my. His reaction is cute, indeed.",x,,,,
9.26E+17,WhitCoko,57:07.0,@sara8smiles @jon_doe_se7en @Raven77279047 @Morpheous_one Im 34 but started getting sick @ age 19. I later found out i have systemic lupus. Thru the years i learned that just bc a doc says to take,,x,,,
9.26E+17,solids_mico,55:02.0,"@solids_lupus So, are you free this weekend?",x,,,,
9.26E+17,danluceroshow,54:49.0,"So long for now, baseball. In the words of the great Timmy Lupus: ""And another thing. Just wait 'til next year."" https://t.co/aQhcwhSMjQ",,x,,,
9.26E+17,CharyCandy,54:14.0,When I realized I have defeated lupus once again....Happiness is Within despite all the pain but Lupus looks good on me💜💜💜🙌 https://t.co/noO1DnzRv5,,x,,,
9.26E+17,MrBridges707,54:12.0,"Some of you don't care, but my family and my real friends will. In Honor of someone who Fights LUPUS .... ⭐️💫⭐️💜
Copy and paste",,x,,,
9.26E+17,lupussurvivors,52:09.0,At least 5 million people worldwide have lupus.  SHARE 4 #lupusawareness #lupussurvivors https://t.co/TClwcK0izG https://t.co/EQKW3x1BtV,,,,,x
9.26E+17,TexasTRILL__,50:26.0,She's battling lupus just like my mommy 👏🏽 she deserves it https://t.co/EEXJRPN6i9,,x,,,
9.26E+17,nmontegrico,49:26.0,@BlancaRozayy @LolasSpace lol she didn't even use her platform to talk about lupus 🤦🏻‍♀️ but yeah she's stunning she just model lol,,x,,,
9.26E+17,cyndypham,47:54.0,@Ixzianna @No1StaysTheSame @moonlightgae does that mean everyone with lupus gets an award?,,x,,,
9.26E+17,kpostin23,46:52.0,"Yeah that was AWESOME!! Did you know Selena helped raise TONS of awareness &amp; money for Lupus while battling it herself!! Both of them are incredible artists and even better people, no need to hate on either of them!! #SpreadLove https://t.co/qGVRJ3XDoN",,x,,,
9.26E+17,pragmatist20152,46:06.0,"@tularosebud @_GOALdigga @MissKayGee5 @QueenSugarOWN Indeed they will....I believe she'll triumph over this, with Hollywood(God bless him)...in my experience an illness like Lupus, esp/",,x,,,
9.26E+17,mistykj05,44:56.0,Finally feelin better after almost 2 weeks in bed.  My tummy is still hurting but it's most likely my meds to treat #Lupus. #Weneedacure,,x,,,
9.26E+17,LupusTreatment,37:04.0,A Natural EFFECTIVE Treatment for #Lupus https://t.co/eJEAB576d6 #LupusErythematosus,,,,x,
9.26E+17,SummerUnicorn10,34:59.0,@coldgirlfeverr @heidos777 @moonlightgae @selenagomez @ArianaGrande ...battling Lupus and her mental disorders she produced 13rw (a show to raise awareness for and to stop people from suicide)...,,,,,x
9.26E+17,mrs_Lee16,33:48.0,I love that Selena Gomez is spreading awareness for lupus❤️❤️❤️❤️❤️❤️ nothing but love for her❤️❤️❤️❤️❤️❤️,,x,,,
9.26E+17,Daserickson1,31:36.0,Trauma &amp; PTSD Increase Lupus Risk 3x https://t.co/IMQ722lE1y via @LupusCorner,,,,x,
9.26E+17,selenasmodel,31:06.0,"Literally all the lupus research pages are posting her, a doctor studying the condition for years even said it. They’re so foolish... https://t.co/WiqZuwxFY1",,x,,,
9.26E+17,oceangomezs,30:09.0,Seems like Justin is making sure shes having fun since he knows she has lupus 😭😔❤️ https://t.co/LulM2SJqTx,,x,,,
9.26E+17,TeeBabeeee,28:20.0,Not feeling how they making Lupus seem like death sentence out the gate.... #QUEENSUGAR,,x,,,
